"V1" "V2" "V3" "V4" "V5"
"1" 8 13 17 22 31
"2" 7 15 19 29 31
"3" 4 17 22 28 31
"4" 8 13 20 25 31
"5" 7 18 22 24 30
"6" 7 13 22 25 28
"7" 5 17 22 24 32
"8" 7 18 25 31 31
"9" 6 18 21 28 31
"10" 12 17 23 29 32
"11" 4 15 20 25 28
"12" 8 18 20 29 31
"13" 9 15 20 24 30
"14" 7 13 20 24 33
"15" 10 19 21 27 30
"16" 7 15 22 23 28
"17" 8 18 21 25 28
"18" 6 15 21 26 31
"19" 9 17 17 26 32
"20" 4 16 21 29 33
"21" 7 12 21 27 33
"22" 6 15 18 26 30
"23" 11 18 25 27 32
"24" 5 11 21 25 31
"25" 8 15 20 27 32
"26" 9 16 21 28 35
"27" 10 17 20 22 31
"28" 7 15 21 27 32
"29" 9 16 22 25 34
"30" 8 16 23 27 32
