"V1" "V2" "V3" "V4" "V5"
"1" 8 14 21 27 32
"2" 5 16 18 26 32
"3" 8 16 21 27 28
"4" 8 15 22 26 33
"5" 10 17 20 26 30
"6" 8 16 22 27 30
"7" 7 14 20 26 31
"8" 9 19 25 28 33
"9" 8 15 19 25 30
"10" 7 16 20 25 32
"11" 7 15 22 24 29
"12" 9 17 21 29 34
"13" 11 15 21 27 34
"14" 8 18 23 24 29
"15" 9 13 19 26 31
"16" 8 11 23 27 30
"17" 9 16 20 24 29
"18" 7 17 20 22 31
"19" 8 15 20 28 30
"20" 6 16 23 27 29
"21" 7 14 19 22 30
"22" 8 16 21 25 30
"23" 8 13 22 27 30
"24" 9 15 21 26 30
"25" 8 19 22 29 34
"26" 10 17 19 28 30
"27" 8 17 20 27 30
"28" 8 17 21 27 31
"29" 8 11 20 26 29
"30" 7 17 20 25 31
