"V1" "V2" "V3" "V4" "V5"
"1" 15 31 42 48 62
"2" 14 33 45 52 56
"3" 13 24 37 40 56
"4" 18 24 39 49 56
"5" 11 26 34 46 52
"6" 12 28 44 48 54
"7" 13 26 35 43 54
"8" 16 32 40 52 48
"9" 17 35 43 43 57
"10" 15 24 37 45 52
"11" 11 27 37 50 56
"12" 12 26 38 47 52
"13" 14 25 37 53 57
"14" 10 26 35 45 55
"15" 14 24 35 47 50
"16" 15 35 38 45 59
"17" 9 26 38 40 53
"18" 11 21 35 48 54
"19" 17 22 40 46 58
"20" 15 27 32 38 49
"21" 14 22 41 38 49
"22" 13 30 41 46 53
"23" 10 29 40 50 61
"24" 11 32 43 52 54
"25" 8 19 33 44 59
"26" 15 28 35 47 53
"27" 10 23 38 45 57
"28" 12 27 38 46 55
"29" 15 24 37 44 56
"30" 13 22 41 48 56
