"V1" "V2" "V3" "V4" "V5"
"1" 19 34 45 46 56
"2" 9 26 29 43 49
"3" 13 22 35 39 46
"4" 15 18 34 41 49
"5" 14 23 36 46 47
"6" 10 28 32 43 49
"7" 13 24 33 42 50
"8" 18 32 39 50 57
"9" 16 30 35 47 60
"10" 11 25 32 38 43
"11" 14 30 34 40 43
"12" 10 26 36 39 54
"13" 14 29 38 54 57
"14" 12 20 32 33 44
"15" 12 26 37 39 52
"16" 18 30 38 54 45
"17" 13 20 29 45 44
"18" 10 15 30 41 54
"19" 17 25 37 47 58
"20" 16 22 35 38 53
"21" 18 21 34 44 46
"22" 14 34 36 47 50
"23" 12 23 29 38 62
"24" 17 24 41 41 55
"25" 15 22 40 48 51
"26" 14 27 33 43 42
"27" 17 25 35 40 52
"28" 10 26 30 42 57
"29" 14 22 35 45 52
"30" 15 27 41 45 52
