"V1" "V2" "V3" "V4"
"1" 10 10 13 19
"2" 13 15 15 14
"3" 12 16 17 16
"4" 14 13 13 15
"5" 11 14 18 17
"6" 12 14 13 17
"7" 14 12 17 17
"8" 12 16 18 16
"9" 14 13 18 19
"10" 8 14 17 18
"11" 13 15 15 17
"12" 10 15 18 17
"13" 11 14 15 16
"14" 15 13 13 15
"15" 12 11 19 18
"16" 11 12 15 14
"17" 10 18 18 18
"18" 13 15 15 15
"19" 10 17 17 19
"20" 0 16 16 17
"21" 11 12 12 17
"22" 15 16 15 15
"23" 5 15 18 17
"24" 13 13 11 16
"25" 12 9 15 18
"26" 10 14 16 17
"27" 11 9 17 16
"28" 15 15 15 19
"29" 11 16 16 18
"30" 8 11 16 15
