"V1" "V2" "V3" "V4"
"1" 15 13 14 17
"2" 8 18 16 21
"3" 15 15 16 18
"4" 9 14 15 16
"5" 14 14 17 15
"6" 14 17 16 16
"7" 14 15 14 16
"8" 16 14 19 18
"9" 14 12 15 16
"10" 8 9 16 18
"11" 17 16 15 16
"12" 11 16 17 17
"13" 16 17 15 15
"14" 12 14 18 16
"15" 15 14 13 19
"16" 6 13 11 18
"17" 13 11 16 18
"18" 10 9 17 18
"19" 14 14 15 17
"20" 14 13 16 15
"21" 11 15 14 16
"22" 9 8 16 16
"23" 7 14 13 16
"24" 16 16 15 18
"25" 11 9 19 18
"26" 5 15 17 17
"27" 16 11 17 17
"28" 14 14 17 16
"29" 16 16 11 15
"30" 12 15 17 17
