"V1" "V2" "V3" "V4"
"1" 16 24 31 35
"2" 19 26 33 36
"3" 13 19 24 36
"4" 16 22 24 40
"5" 15 21 26 38
"6" 8 21 28 32
"7" 15 20 26 36
"8" 13 21 32 36
"9" 14 22 35 39
"10" 18 21 24 31
"11" 8 25 27 35
"12" 18 14 26 42
"13" 16 20 25 35
"14" 18 22 26 33
"15" 6 26 24 38
"16" 15 15 35 34
"17" 17 22 26 37
"18" 20 18 21 38
"19" 19 20 22 34
"20" 7 16 27 33
"21" 15 23 22 33
"22" 17 25 30 29
"23" 14 24 29 39
"24" 9 22 32 34
"25" 13 20 19 39
"26" 15 17 28 42
"27" 18 25 23 39
"28" 17 18 27 34
"29" 12 19 24 42
"30" 16 20 22 30
