"V1" "V2" "V3" "V4"
"1" 16 22 34 27
"2" 14 22 26 27
"3" 21 22 22 35
"4" 17 17 18 36
"5" 20 23 23 28
"6" 20 21 28 34
"7" 14 22 24 31
"8" 19 22 32 26
"9" 24 20 30 28
"10" 18 18 25 30
"11" 23 22 30 33
"12" 18 19 26 35
"13" 19 29 29 28
"14" 21 23 20 20
"15" 18 24 26 37
"16" 20 21 30 34
"17" 15 19 20 20
"18" 15 22 15 39
"19" 21 23 25 38
"20" 19 21 22 28
"21" 16 21 21 30
"22" 15 22 34 33
"23" 24 24 23 32
"24" 19 21 24 31
"25" 19 23 22 30
"26" 21 20 27 38
"27" 11 21 25 30
"28" 18 15 26 29
"29" 17 21 22 25
"30" 20 23 27 23
